Code,Description,,,,,,,
01101,Cargo ship safety equipment (including exemption),,,,,,,
01102,Cargo ship safety construction (including exempt.),,,,,,,
01103,Passenger ship safety (including exemption),,,,,,,
01104,Cargo ship safety radio (including exemption),,,,,,,
01105,Cargo ship safety (including exemption),,,,,,,
01106,Document of compliance (DoC/ ISM),,,,,,,
01107,Safety management certificate (SMC/ ISM),,,,,,,
01108,Load lines (including Exemption),,,,,,,
01109,Decision-support system for masters on passenger ships,,,,,,,
01110,Authorization for grain carriage,,,,,,,
01111,Liquefied gases in bulk (CoF/GC Code),,,,,,,
01112,Liquefied gases in bulk (ICoF/IGC Code),,,,,,,
01113,Minimum safe manning document,,,,,,,
01114,Dangerous chemicals in bulk (CoF/BCH Code),,,,,,,
01115,Dangerous chemicals in bulk (ICoF/IBC Code),,,,,,,
01116,Operational limitations for passenger ships,,,,,,,
01117,International Oil Pollution Prevention (IOPP),,,,,,,
01118,Pollution prevention by noxious liquid substances in bulk,,,,,,,
01119,International Sewage Pollution Prevention Certificate,,,,,,,
01120,Statement of Compliance CAS,,,,,,,
01121,Interim Statement of Compliance CAS,,,,,,,
01122,International ship security certificate,,,,,,,
01123,Continuous synopsis record,,,,,,,
01124,International Air Pollution Prevention Certificate,,,,,,,
01125,Engine International Air Pollution Prevention Certificate,,,,,,,
01126,Document of compliance dangerous goods,,,,,,,
01127,Special purpose ship safety,,,,,,,
01128,High speed craft safety and permit to operate,,,,,,,
01129,Mobile offshore drilling unit safety,,,,,,,
01130,INF certificate of fitness,,,,,,,
01131,International AFS certificate *),,,,,,,
01132,Tonnage certificate,,,,,,,
01133,Civil liability for oil pollution damage certificate,,,,,,,
01134,Polar ship certificate,,,,,,,
01135,Document for carriage of dangerous goods,,,,,,,
01136,Ballast Water Management Certificate,,,,,,,
01137,Civil liability for Bunker oil pollution damage certificate,,,,,,,
01138,International Energy Efficiency Certificate,,,,,,,
01139,Maritime Labour Certificate,,,,,,,
01140,Declaration of Maritime Labour Compliance (Part I and II),,,,,,,
01199,Other (certificates),,,,,,,
01201,Certificates for master and officers,,,,,,,
01202,Certificate for rating for watchkeeping,,,,,,,
01203,Certificates for radio personnel,,,,,,,
01204,Certificate for personnel on tankers,,,,,,,
01205,Certificate for personnel on fast rescue boats,,,,,,,
01206,Certificate for advanced fire-fighting,,,,,,,
01209,Manning specified by the minimum safe manning document,,,,,,,
01210,Certificate for medical first aid,,,,,,,
01211,Certificate for personnel on survival craft & rescue boat,,,,,,,
01212,Certificate for medical care,,,,,,,
01213,Evidence of basic training,,,,,,,
01214,Endorsement by flag state,,,,,,,
01215,Application for Endorsement by flag state,,,,,,,
01216,Certificate for personnel on ships subject to the IGF Code,,,,,,,
01217,Ship Security Officer certificate,,,,,,,
01218,Medical certificate,,,,,,,
01219,Training and qualification MLC - Personnel safety training,,,,,,,
01220,Seafarer’s employment agreement SEA,,,,,,,
01221,Record of employment,,,,,,,
01222,Document evidence for personnel on passenger ships,,,,,,,
01223,Security awareness training,,,,,,,
01224,Certificate for rating able seafarer deck/engine and electro-technical,,,,,,,
01302,SAR cooperation plan for passenger ships on fixed trade,,,,,,,
01303,Unattended machinery spaces (UMS) evidence,,,,,,,
01304,Declaration of AFS compliance,,,,,,,
01305,Log-books/compulsory entries,,,,,,,
01306,Shipboard working arrangements,,,,,,,
01307,Maximum hours of work or the minimum hours of rest,,,,,,,
01308,Records of seafarers' daily hours of work or rest,,,,,,,
01309,Fire control plan – all,,,,,,,
01310,"Signs, indications",,,,,,,
01311,Survey report file,,,,,,,
01312,Thickness measurement report,,,,,,,
01313,Booklet for bulk cargo loading/unloading/stowage,,,,,,,
01314,Shipboard oil pollution emergency plan (SOPEP),,,,,,,
01315,Oil record book,,,,,,,
01316,Cargo information,,,,,,,
01317,Cargo record book,,,,,,,
01318,P & A manual,,,,,,,
01319,Shipboard marine pollution emergency plan (MPEP) for NLS,,,,,,,
01320,Garbage record book,,,,,,,
01322,Conformance Test Report,,,,,,,
01323,Fire safety operational booklet,,,,,,,
01324,Material safety data sheets,,,,,,,
01325,ACM statement of compliance (including exemption),,,,,,,
01326,Stability Information Booklet,,,,,,,
01327,Energy Efficiency Design Index File,,,,,,,
01328,Ship Energy Efficiency Management plan,,,,,,,
01329,"Report of inspection on MLC, 2006",,,,,,,
01330,"Procedure for complaint under MLC, 2006",,,,,,,
01331,Collective bargaining agreement,,,,,,,
01332,AIS test report,,,,,,,
01333,Ship specific plans for the recovery of persons from the water,,,,,,,
01334,STS Operation Plan and Records of STS Operations,,,,,,,
01335,Polar Water Operational Manual,,,,,,,
01336,Certificate or documentary evidence of financial security for repatriation,,,,,,,
01337,Certificate or documentary evidence of financial security relating to shipowners liability,,,,,,,
02101,Closing devices/watertight doors,,,,,,,
02102,Damage control plan,,,,,,,
02103,Stability/strength/loading information and instruments,,,,,,,
02104,Information on the A/A - max ratio (Roro/pass. only),,,,,,,
02105,Steering gear,,,,,,,
02106,Hull damage impairing seaworthiness,,,,,,,
02107,"Ballast, fuel and other tanks",,,,,,,
02108,Electric equipment in general,,,,,,,
02109,Permanent means of access,,,,,,,
02110,"Beams, frames, floors - operational damage",,,,,,,
02111,"Beams, frames, floors - corrosion",,,,,,,
02112,Hull - corrosion,,,,,,,
02113,Hull - cracking,,,,,,,
02114,Bulkhead – corrosion,,,,,,,
02115,Bulkheads - operational damage,,,,,,,
02116,Bulkheads – cracking,,,,,,,
02117,Decks – corrosion,,,,,,,
02118,Decks – cracking,,,,,,,
02119,Enhanced survey programme (ESP),,,,,,,
02120,Marking of IMO number,,,,,,,
02121,Cargo area segregation,,,,,,,
02122,"Openings to cargo area, doors, …, scuttles",,,,,,,
02123,"Wheelhouse door, - window",,,,,,,
02124,Cargo pump room,,,,,,,
02125,Spaces in cargo areas,,,,,,,
02126,Cargo tank vent system,,,,,,,
02127,Safe access to tanker bows,,,,,,,
02128,Bulk carriers additional safety measures,,,,,,,
02129,Bulkhead strength,,,,,,,
02130,Triangle mark,,,,,,,
02132,Water level detectors on single hold cargo ships,,,,,,,
02133,Asbestos containing materials,,,,,,,
02134,Loading/Ballast condition (Tanker),,,,,,,
02199,Other (Structural condition),,,,,,,
03101,Overloading,,,,,,,
03102,Freeboard marks,,,,,,,
03103,"Railing, gangway, walkway and means for safe passage",,,,,,,
03104,Cargo and other hatchways,,,,,,,
03105,"Covers (hatchway, portable, tarpaulins, etc.)",,,,,,,
03106,"Windows, side scuttles and deadlights",,,,,,,
03107,Doors,,,,,,,
03108,"Ventilators, air pipes, casings",,,,,,,
03109,Machinery space openings,,,,,,,
03110,Manholes / flush scuttles,,,,,,,
03111,Cargo ports and other similar openings,,,,,,,
03112,"Scuppers, inlets and discharges",,,,,,,
03113,Bulwarks and freeing ports,,,,,,,
03114,"Stowage including uprights, lashing, etc. (timber)",,,,,,,
03199,Other (load lines),,,,,,,
04101,Public address system,,,,,,,
04102,Emergency fire pump and its pipes,,,,,,,
04103,"Emergency lighting, batteries and switches",,,,,,,
04104,Low level lighting in corridors,,,,,,,
04105,Location of emergency installations,,,,,,,
04106,Emergency steering position communications/ compass reading,,,,,,,
04107,Emergency towing arrangements and procedures,,,,,,,
04108,Muster list,,,,,,,
04109,Fire drills,,,,,,,
04110,Abandon ship drills,,,,,,,
04111,Damage control plan,,,,,,,
04112,Shipboard Marine Pollution emergency operations,,,,,,,
04113,Water level indicator,,,,,,,
04114,Emergency source of power - Emergency generator,,,,,,,
04115,Safe areas,,,,,,,
04116,Means of communication between safety centre and other control stations,,,,,,,
04117,Functionality of Safety Systems,,,,,,,
04118,Enclosed space entry and rescue drills,,,,,,,
05101,Distress messages: obligations and procedures,,,,,,,
05102,Functional requirements,,,,,,,
05103,Main installation,,,,,,,
05104,MF radio installation,,,,,,,
05105,MF/HF radio installation,,,,,,,
05106,INMARSAT ship earth station,,,,,,,
05107,Maintenance / duplication of equipment,,,,,,,
05108,Performance standards for radio equipment,,,,,,,
05109,VHF radio installation,,,,,,,
05110,Facilities for reception of marine safety information,,,,,,,
05111,Satellite EPIRB 406MHz / 1.6 GHz,,,,,,,
05112,VHF EPIRB,,,,,,,
05113,SART/AIS - SART,,,,,,,
05114,Reserve source of energy,,,,,,,
05115,Radio log (diary),,,,,,,
05116,Operation/maintenance,,,,,,,
05118,Operation of GMDSS equipment,,,,,,,
05199,Other (radio communication),,,,,,,
06101,Cargo securing manual,,,,,,,
06102,Grain,,,,,,,
06103,Other cargo - timber - deck/construction,,,,,,,
06104,Lashing material,,,,,,,
06105,Atmosphere testing instruments,,,,,,,
06106,Cargo transfer - Tankers,,,,,,,
06107,Cargo operation,,,,,,,
06108,Cargo density declaration,,,,,,,
06199,Other (cargo),,,,,,,
07101,Fire prevention structural integrity,,,,,,,
07102,Inert gas system,,,,,,,
07103,"Division – decks, bulkheads and penetrations",,,,,,,
07104,Main vertical zone,,,,,,,
07105,Fire doors/openings in fire-resisting divisions,,,,,,,
07106,Fire detection,,,,,,,
07108,Ready availability of fire fighting equipment,,,,,,,
07109,Fixed fire extinguishing installation,,,,,,,
07110,Fire fighting equipment and appliances,,,,,,,
07111,Personal equipment,,,,,,,
07112,Emergency escape breathing device and disposition,,,,,,,
07113,Fire pumps and its pipes,,,,,,,
07114,"Means of control ( opening, pumps) Machinery spaces",,,,,,,
07115,Fire dampers,,,,,,,
07116,Ventilation,,,,,,,
07117,Jacketed high pressure lines and oil leakage alarm,,,,,,,
07118,International shore-connection,,,,,,,
07120,Means of escape,,,,,,,
07121,Crew alarm,,,,,,,
07122,Fire control plan,,,,,,,
07123,Operation of fire protection systems,,,,,,,
07124,Maintenance of fire protection systems,,,,,,,
07125,Evaluation of crew performance (fire drills),,,,,,,
07199,Other (fire safety),,,,,,,
08101,General alarm,,,,,,,
08102,Emergency signal,,,,,,,
08103,Fire alarm,,,,,,,
08104,Steering-gear alarm,,,,,,,
08105,Engineer’s alarm,,,,,,,
08106,Inert gas alarm,,,,,,,
08107,Machinery controls alarm,,,,,,,
08108,UMS - alarms,,,,,,,
08109,Boiler - alarm,,,,,,,
08110,Closing watertight doors alarm,,,,,,,
08199,Other (alarms),,,,,,,
09101,Minimum age,,,,,,,
09102,"Dirty, parasites",,,,,,,
09103,Ventilation (Accommodation),,,,,,,
09104,Heating,,,,,,,
09105,Noise,,,,,,,
09106,Sanitary facilities,,,,,,,
09107,Drainage,,,,,,,
09108,Lighting (Accommodation),,,,,,,
09109,"Pipes, wires (insulation)",,,,,,,
09110,Electrical devices,,,,,,,
09111,Sickbay,,,,,,,
09112,Medical equipment,,,,,,,
09113,Access/structure,,,,,,,
09114,Sleeping room,,,,,,,
09115,No direct openings into sleeping rooms cargo/mach.,,,,,,,
09116,Furnishings,,,,,,,
09117,"Berth dimensions, etc.",,,,,,,
09118,Clear head,,,,,,,
09119,Messroom (location),,,,,,,
09120,Oil skin locker,,,,,,,
09121,Laundry,,,,,,,
09122,Record of inspection (Accommodation),,,,,,,
09124,"Galley, handling room (maintenance)",,,,,,,
09127,Cleanliness,,,,,,,
09128,Provisions quantity,,,,,,,
09129,Provisions quality,,,,,,,
09130,"Water, pipes, tanks",,,,,,,
09131,Cold room,,,,,,,
09132,Cold room temperature,,,,,,,
09133,Cold room cleanliness,,,,,,,
09134,Food personal hygiene,,,,,,,
09135,Food temperature,,,,,,,
09136,Food segregation,,,,,,,
09137,Record of inspection,,,,,,,
09198,Other (crew and accommodation),,,,,,,
09199,Other (food),,,,,,,
09201,Ventilation (Working spaces),,,,,,,
09202,Heating,,,,,,,
09203,Lighting (Working spaces),,,,,,,
09204,Safe means of access,,,,,,,
09205,Safe means of access shore – ship,,,,,,,
09206,"Safe means of access deck - hold/tank, etc.",,,,,,,
09207,"Obstruction/slipping, etc.",,,,,,,
09208,Protection machinery,,,,,,,
09209,Electrical,,,,,,,
09210,Machinery,,,,,,,
09211,Steam pipes and pressure pipes,,,,,,,
09212,Danger areas,,,,,,,
09213,Gas instruments,,,,,,,
09214,Emergency cleaning devices,,,,,,,
09216,Personal equipment,,,,,,,
09217,Warning notices,,,,,,,
09218,Protection machines/parts,,,,,,,
09219,"Pipes, wires (insulation)",,,,,,,
09220,Structural features (ship),,,,,,,
09221,Entry dangerous spaces,,,,,,,
09223,"Gangway, accommodation - ladder",,,,,,,
09224,Stowage,,,,,,,
09225,Loading and unloading equipment,,,,,,,
09226,Holds and tanks safety,,,,,,,
09227,Ropes and wires,,,,,,,
09228,Anchoring devices,,,,,,,
09229,Winches and capstans,,,,,,,
09230,Adequate lighting - mooring arrangements,,,,,,,
09232,Cleanliness of engine room,,,,,,,
09233,Guards / fencing around dangerous machinery parts,,,,,,,
09234,Night working for seafarer under the age of 18,,,,,,,
09235,Fitness for duty – work and rest hours,,,,,,,
09236,Legal documentation on work and rest hours,,,,,,,
09237,Fitness for duty – intoxication,,,,,,,
09297,Other (working space ILO),,,,,,,
09298,Other (accident prevention),,,,,,,
09299,Other (mooring),,,,,,,
10101,Pilot ladders and hoist/pilot transfer arrangements,,,,,,,
10102,Type approval equipment,,,,,,,
10103,Radar,,,,,,,
10104,Gyro compass,,,,,,,
10105,Magnetic compass,,,,,,,
10106,Compass correction log,,,,,,,
10107,Automatic radar plotting aid (ARPA),,,,,,,
10109,"Lights, shapes, sound - signals",,,,,,,
10110,Signalling lamp,,,,,,,
10111,Charts,,,,,,,
10112,Electronic charts (ECDIS),,,,,,,
10113,Automatic Identification System (AIS),,,,,,,
10114,Voyage Data Recorder (VDR) / Simplified Voyage Data Recorder (S-VDR),,,,,,,
10115,GNSS receiver/terrestrial radio navigation system,,,,,,,
10116,Nautical publications,,,,,,,
10117,Echo sounder,,,,,,,
10118,Speed and distance indicator,,,,,,,
10119,Rudder angle indicator,,,,,,,
10120,Revolution counter,,,,,,,
10121,Variable pitch indicator,,,,,,,
10122,Rate-of-turn indicator,,,,,,,
10123,International code of signals - SOLAS,,,,,,,
10124,Life-saving signals,,,,,,,
10125,Use of the automatic pilot,,,,,,,
10126,Records of drills and steering gear tests,,,,,,,
10127,Voyage or passage plan,,,,,,,
10128,Navigation bridge visibility,,,,,,,
10129,Navigation records,,,,,,,
10132,Communication - SOLAS Chapter V,,,,,,,
10133,Bridge operation,,,,,,,
10134,HSC operation,,,,,,,
10135,Monitoring of voyage or passage plan,,,,,,,
10136,Establishment of working language on board,,,,,,,
10137,Long-Range Identification and Tracking system (LRIT),,,,,,,
10138,Bridge Navigational Watch Alarm System (BNWAS),,,,,,,
10199,Other (navigation),,,,,,,
11101,Lifeboats,,,,,,,
11102,Lifeboat inventory,,,,,,,
11103,Stowage and provision of lifeboats,,,,,,,
11104,Rescue boats,,,,,,,
11105,Rescue boat inventory,,,,,,,
11106,Fast rescue boats,,,,,,,
11107,Stowage of rescue boats,,,,,,,
11108,Inflatable liferafts,,,,,,,
11109,Rigid liferafts,,,,,,,
11110,Stowage of liferafts,,,,,,,
11111,Marine evacuation system,,,,,,,
11112,Launching arrangements for survival craft,,,,,,,
11113,Launching arrangements for rescue boats,,,,,,,
11114,Helicopter landing and pick-up area,,,,,,,
11115,Means of rescue,,,,,,,
11116,Distress flares,,,,,,,
11117,Lifebuoys incl. provision and disposition,,,,,,,
11118,Lifejackets incl. provision and disposition,,,,,,,
11119,Immersion suits,,,,,,,
11120,Anti-exposure suits,,,,,,,
11121,Thermal Protective Aids,,,,,,,
11122,Radio life-saving appliances,,,,,,,
11123,Emergency equipment for 2-way communication,,,,,,,
11124,Embarkation arrangement survival craft,,,,,,,
11125,Embarkation arrangements rescue boats,,,,,,,
11126,Means of recovery of life-saving appliances,,,,,,,
11127,Buoyant apparatus,,,,,,,
11128,Line-throwing appliance,,,,,,,
11129,Operational readiness of lifesaving appliances,,,,,,,
11130,"Evaluation, testing and approval",,,,,,,
11131,On-board training and instructions,,,,,,,
11132,Maintenance and inspections,,,,,,,
11134,Operation of Life Saving Appliances,,,,,,,
11135,Maintenance of Life Saving Appliances,,,,,,,
11199,Other (life saving),,,,,,,
12101,Stowage/segregation/packaging of dangerous goods,,,,,,,
12102,Dangerous liquid chemicals in bulk,,,,,,,
12103,Liquefied gases in bulk,,,,,,,
12104,Dangerous goods code,,,,,,,
12105,Temperature control,,,,,,,
12106,Instrumentation,,,,,,,
12107,Fire protection cargo deck area,,,,,,,
12108,Personal protection,,,,,,,
12109,Special requirements,,,,,,,
12110,Tank entry,,,,,,,
12112,Dangerous goods or harmful substances in packaged form,,,,,,,
12199,Other (tankers),,,,,,,
13101,Propulsion main engine,,,,,,,
13102,Auxiliary engine,,,,,,,
13103,"Gauges, thermometers etc.",,,,,,,
13104,Bilge pumping arrangements,,,,,,,
13105,UMS - ship,,,,,,,
13106,Insulation wetted through (oil),,,,,,,
13108,Operation of machinery,,,,,,,
13199,Other (machinery),,,,,,,
14101,Control of discharge of oil,,,,,,,
14102,Retention of oil on board,,,,,,,
14103,Segregation of oil and water ballast,,,,,,,
14104,Oil filtering equipment,,,,,,,
14105,"Pumping, piping and discharge arrangements",,,,,,,
14106,Pump room bottom protection,,,,,,,
14107,Oil discharge monitoring and control system,,,,,,,
14108,15 PPM alarm arrangements,,,,,,,
14109,Oil/water interface detector,,,,,,,
14110,Standard discharge connection,,,,,,,
14111,"SBT, CBT, COW",,,,,,,
14112,COW operations and equipment manual,,,,,,,
14113,Double hull construction,,,,,,,
14114,Hydrostatically balanced loading,,,,,,,
14115,Condition Assessment Scheme,,,,,,,
14116,Pollution report - MARPOL Annex I,,,,,,,
14117,Ship type designation,,,,,,,
14119,Oil and oily mixtures from machinery spaces,,,,,,,
14120,"Loading, unloading & cleaning procedures cargo spaces of tankers",,,,,,,
14121,Suspected of discharge violation,,,,,,,
14199,Other (MARPOL Annex I),,,,,,,
14201,Efficient stripping,,,,,,,
14202,Residue discharge systems,,,,,,,
14203,Tank washing equipment,,,,,,,
14204,Prohibited discharge of NLS slops,,,,,,,
14205,Cargo heating systems - cat. Y substances,,,,,,,
14206,Ventilation procedures/equipment,,,,,,,
14207,Pollution report - MARPOL Annex II,,,,,,,
14208,Ship type designation,,,,,,,
14299,Other (MARPOL Annex II),,,,,,,
14301,Packaging,,,,,,,
14302,Marking and labelling,,,,,,,
14303,Documentation (MARPOL Annex III),,,,,,,
14304,Stowage,,,,,,,
14399,Other (MARPOL - Annex III),,,,,,,
14402,Sewage treatment plan,,,,,,,
14403,Sewage comminuting and disinfecting system,,,,,,,
14404,Sewage discharge connection,,,,,,,
14499,Other (MARPOL Annex IV),,,,,,,
14501,Garbage,,,,,,,
14502,Placards,,,,,,,
14503,Garbage management plan,,,,,,,
14599,Other (MARPOL Annex V),,,,,,,
14601,"Technical Files and if applicable, monitoring manual",,,,,,,
14602,Record book engine parameters,,,,,,,
14603,Approved doc exhaust gas cleaning system,,,,,,,
14604,Bunker delivery notes,,,,,,,
14605,Type approval certificate of incinerator,,,,,,,
14606,Diesel engine air pollution control,,,,,,,
14607,Quality of fuel oil,,,,,,,
14608,Incinerator incl. operations and operating manual,,,,,,,
14609,Volatile Organic compounds in tankers,,,,,,,
14610,Operational procedures for engines or equipment,,,,,,,
14611,Ozone depleting substances,,,,,,,
14613,Approved method,,,,,,,
14614,Sulphur oxides,,,,,,,
14699,Other (MARPOL ANNEX VI),,,,,,,
14701,AFS supporting documentation,,,,,,,
14702,Logbook entries referring AFS,,,,,,,
14703,Paint condition,,,,,,,
14799,Other (AFS),,,,,,,
15150,ISM,,,,,,,
16101,Security related defects,,,,,,,
16102,Ship security alert system,,,,,,,
16103,Ship security plan,,,,,,,
16104,Ship security officer,,,,,,,
16105,Access control to ship,,,,,,,
16106,Security drills,,,,,,,
16199,Other (maritime security),,,,,,,
18101,Minimum age,,,,,,,
18102,Night working,,,,,,,
18103,Medical fitness,,,,,,,
18104,Recruitment and placement service,,,,,,,
18199,Other (Minimum requirements),,,,,,,
18201,Fitness for duty - work and rest hours,,,,,,,
18202,Legal documentation on work and rest hours,,,,,,,
18203,Wages,,,,,,,
18204,Calculation and payment,,,,,,,
18205,Measures to ensure transmission to seafarer’s family,,,,,,,
18299,Other (Conditions of employment),,,,,,,
18301,"Noise, vibration and other ambient factors",,,,,,,
18302,Sanitary Facilities,,,,,,,
18303,Drainage,,,,,,,
18304,Lighting (Accommodation),,,,,,,
18305,Hospital accommodation (Sickbay),,,,,,,
18306,"Sleeping room, additional spaces",,,,,,,
18307,Direct openings into sleeping rooms cargo/mach.,,,,,,,
18308,Furnishings,,,,,,,
18309,"Berth dimensions, etc.",,,,,,,
18310,Minimum headroom,,,,,,,
18311,Mess room and recreational facilities,,,,,,,
18312,"Galley, handling room (maintenance)",,,,,,,
18313,Cleanliness,,,,,,,
18314,Provisions quantity,,,,,,,
18315,Provisions quality and nutritional value,,,,,,,
18316,"Water, pipes, tanks",,,,,,,
18317,Food personal hygiene,,,,,,,
18318,Food temperature,,,,,,,
18319,Food segregation,,,,,,,
18320,Record of inspection (food and catering),,,,,,,
18321,"Heating, air conditioning and ventilation",,,,,,,
18322,Insulation,,,,,,,
18323,Office,,,,,,,
18324,"Cold room, cold room cleanliness, cold room temperature",,,,,,,
18325,Training and qualification of ship’s cook,,,,,,,
18326,"Laundry, Adequate Locker",,,,,,,
18327,Ventilation (Working spaces),,,,,,,
18328,Record of inspection,,,,,,,
18399,"Other (Accommodation, recreational facilities…)",,,,,,,
18401,"Medical Equipment, medical chest, medical guide",,,,,,,
18402,Access to on shore medical doctor or dentist,,,,,,,
18403,Standard medical report form,,,,,,,
18404,Medical doctor or person in charge of medical care,,,,,,,
18405,Medical advice by radio or satellite,,,,,,,
18406,Medical care onboard or ashore free of charge,,,,,,,
18407,Lighting (Working spaces),,,,,,,
18408,Electrical,,,,,,,
18409,Dangerous areas,,,,,,,
18410,Gas instruments,,,,,,,
18411,Emergency cleaning devices,,,,,,,
18412,Personal equipment,,,,,,,
18413,Warning notices,,,,,,,
18414,Protection machines/parts,,,,,,,
18415,Entry dangerous spaces,,,,,,,
18416,Ropes and wires,,,,,,,
18417,Anchoring devices,,,,,,,
18418,Winches & capstans,,,,,,,
18419,Adequate lighting - mooring arrangements,,,,,,,
18420,Cleanliness of engine room,,,,,,,
18421,Guards - fencing around dangerous machinery parts,,,,,,,
18422,Asbestos fibres,,,,,,,
18423,Preventative information,,,,,,,
18424,"Steam pipes, pressure pipes, wires (insulation)",,,,,,,
18425,Access / structural features (ship),,,,,,,
18426,Exposure to harmful levels of ambient factors,,,,,,,
18427,Ship's occupational safety and health policies and programmes,,,,,,,
18428,On board programme for the prevention of occupational injuries and diseases,,,,,,,
18429,"Procedure for inspection, reporting and correcting unsafe conditions and for investigating and reporting on-board occupational accidents",,,,,,,
18430,Ship’s safety committee,,,,,,,
18431,Investigation after accident,,,,,,,
18432,"Risk evaluation, training and instruction to seafarers",,,,,,,
18499,"Other (Health protection, medical care…)",,,,,,,
99101,Other safety in general,,,,,,,
99102,Other (SOLAS operational),,,,,,,
99103,Other (MARPOL operational),,,,,,,
